影院名称,国家编码,在系统商的编码,系统商
苏州完美世界影城瑞佳店（原17.5影城）,32024301,32024301,HuoFengHuang2
完美世界影城大港店（原17.5影城）,12094801,12094801,HuoFengHuang2
重庆完美世界影城中冶店（原17.5影城）,50120801,50120801,HuoFengHuang2
上高完美世界影城银海店（原17.5影城）,36091401,36091401,HuoFengHuang2
铜仁完美世界影城时代店（原17.5影城）,52220301,52220301,HuoFengHuang2
葫芦岛完美世界影城大润发店（原17.5影城）,21140701,21140701,HuoFengHuang2
淮南完美世界影城凤台店（原17.5影城）,34040301,34040301,HuoFengHuang2
SFC上影（广州店）,44005201,44005201,HuoFengHuang2
广州耀莱成龙国际影城（新塘店）,44005601,20002956,DingXin
重庆华昕影院,50120401,20001210,DingXin
上海嘉定影剧院,31180207,31180207,HuoFengHuang2
SFC上影（七宝店）,31114301,,HuoFengHuang2
SFC上影（八佰伴店）,31124201,,HuoFengHuang2
SFC上影（新衡山店）,31070101,,HuoFengHuang2
